date,daily_sentiment_score,news_count
2014-01-14,-0.77772135,9
2014-01-15,-0.99904627,2
2014-01-16,-0.99936736,1
2014-01-17,-0.82188374,6
2014-01-18,-0.9931777,2
2014-01-19,-0.9992833,3
2014-01-20,-0.99582607,4
2014-01-21,-0.8700781,7
2014-01-22,-0.9997715,4
2014-01-23,-0.33268276,3
2014-01-24,-0.9551671,7
2014-01-27,-0.736377,13
2014-01-28,-0.6589815,6
2014-01-29,-0.98813623,6
2014-01-30,-0.40672532,5
2014-01-31,-0.96575874,3
2014-02-01,-0.4777355,1
2014-02-02,-0.999593,1
2014-02-03,-0.49045196,2
2014-02-04,-0.85092515,4
2014-02-05,-0.3494648,3
2014-02-06,-0.8747031,3
2014-02-07,-0.96775603,8
2014-02-08,-0.9999856,1
2014-02-09,-0.015106618,4
2014-02-10,0.23823127,11
2014-02-11,-0.20776083,8
2014-02-12,-0.19499592,14
2014-02-13,-0.7125741,5
2014-02-14,-0.5038701,7
2014-02-16,-0.23992191,2
2014-02-17,-0.4630415,7
2014-02-18,-0.3855663,5
2014-02-19,-0.68053144,6
2014-02-20,-0.95030975,10
2014-02-21,-0.9975305,1
2014-02-24,-0.821241,15
2014-02-25,-0.7241765,21
2014-02-26,-0.29688096,19
2014-02-27,-0.73125005,9
2014-02-28,-0.013506576,16
2014-03-01,0.316775,2
2014-03-02,-0.9997726,1
2014-03-03,-0.7646806,6
2014-03-04,-0.92913204,11
2014-03-05,-0.637879,16
2014-03-06,-0.59814364,9
2014-03-07,-0.6545784,16
2014-03-08,-0.90102315,3
2014-03-10,-0.6380028,3
2014-03-11,-0.9975478,6
2014-03-12,-0.49991423,2
2014-03-13,-0.99947697,3
2014-03-14,-0.9721178,5
2014-03-17,-0.9765664,6
2014-03-18,-0.4204657,4
2014-03-19,-0.99900275,6
2014-03-20,-0.5456806,7
2014-03-21,-0.6955418,13
2014-03-23,-0.18980019,1
2014-03-25,-0.9329177,4
2014-03-26,-0.8208941,10
2014-03-27,-0.9987265,5
2014-03-31,-0.36281472,5
2014-04-01,-0.7694668,13
2014-04-02,-0.42899582,6
2014-04-03,-0.9984196,6
2014-04-04,-0.9783117,5
2014-04-07,-0.8468008,9
2014-04-08,-0.84989357,7
2014-04-09,-0.863912,5
2014-04-10,0.003555581,4
2014-04-11,-0.51349425,4
2014-04-14,-0.9992652,7
2014-04-15,-0.97348565,8
2014-04-16,-0.74428695,8
2014-04-17,-0.99476033,12
2014-04-18,-0.99846244,2
2014-04-19,0.9993278,1
2014-04-20,-0.96297,2
2014-04-21,-0.98717755,6
2014-04-22,-0.54697496,9
2014-04-23,-0.581183,5
2014-04-24,-0.6187633,2
2014-04-25,-0.99589926,2
2014-04-28,-0.82740784,3
2014-04-29,-0.99511683,5
2014-04-30,-0.99586904,4
2014-05-01,-0.74543023,4
2014-05-03,-0.030261772,1
2014-05-04,-0.6971637,1
2014-05-05,-0.97751635,4
2014-05-06,-0.8866803,6
2014-05-07,-0.9878836,2
2014-05-08,-0.56378704,4
2014-05-09,-0.9988658,5
2014-05-12,-0.62200266,2
2014-05-13,-0.89102256,2
2014-05-14,-0.99750054,5
2014-05-15,-0.9993218,2
2014-05-16,-0.50463945,13
2014-05-17,0.24000517,1
2014-05-21,-0.99829865,3
2014-05-22,-0.9853406,3
2014-05-23,-0.39885634,2
2014-05-26,-0.99947387,1
2014-05-28,-0.5155922,2
2014-05-29,-0.8004201,5
2014-05-30,-0.49976802,6
2014-06-01,3.108295e-06,1
2014-06-02,-0.9957588,3
2014-06-03,-0.6979366,10
2014-06-04,-0.81609064,12
2014-06-05,-0.93903846,2
2014-06-06,0.14756882,3
2014-06-09,-0.9952562,2
2014-06-10,-0.5037019,6
2014-06-11,-0.5483185,7
2014-06-12,-0.8488141,7
2014-06-13,-0.6410391,5
2014-06-14,-0.6607151,1
2014-06-16,-0.59984475,5
2014-06-17,-0.6691529,3
2014-06-18,-0.99947554,2
2014-06-19,-0.99951464,1
2014-06-20,-0.99979395,2
2014-06-21,-0.9983851,2
2014-06-23,-0.8194166,4
2014-06-24,-0.9999275,2
2014-06-25,-0.83710015,8
2014-06-26,-0.33025435,3
2014-06-27,-0.2468954,5
2014-06-28,-0.9171753,2
2014-06-30,-0.9935217,3
2014-07-01,-0.70353925,7
2014-07-02,-0.68707156,11
2014-07-03,-0.9991142,3
2014-07-04,-0.99972624,2
2014-07-05,-0.99611723,1
2014-07-07,-0.3210161,3
2014-07-08,-0.5012372,2
2014-07-09,-0.65168715,7
2014-07-10,-0.4906817,2
2014-07-11,-0.72572666,4
2014-07-14,-0.01801533,1
2014-07-15,-0.3955785,4
2014-07-16,6.645918e-06,4
2014-07-18,-0.9929199,2
2014-07-21,-0.99754816,3
2014-07-23,-0.9998272,1
2014-07-24,-0.9994809,1
2014-07-25,-0.9966677,5
2014-07-28,-0.99636483,4
2014-07-29,-0.9996154,2
2014-07-30,-0.99998903,1
2014-08-01,-0.3503439,1
2014-08-05,-0.6490439,4
2014-08-06,-0.99162346,1
2014-08-07,-0.9996908,1
2014-08-08,-0.99944174,2
2014-08-11,-0.04397829,4
2014-08-12,-0.34014276,6
2014-08-13,-0.18782422,5
2014-08-14,-0.7283192,6
2014-08-15,-0.99997056,1
2014-08-17,-0.8924477,1
2014-08-18,-0.64292544,3
2014-08-19,-0.4521021,4
2014-08-20,-0.7669464,4
2014-08-21,-0.9922716,6
2014-08-22,-0.9995611,2
2014-08-26,-0.76374424,4
2014-08-27,0.96579164,1
2014-08-28,-3.8516145e-08,3
2014-08-29,-0.99512935,1
2014-08-30,-0.6646134,3
2014-08-31,-0.99965626,1
2014-09-01,0.016378373,4
2014-09-02,-0.96131927,2
2014-09-03,-0.5116802,2
2014-09-04,-0.9799273,2
2014-09-05,-0.32046714,3
2014-09-06,-0.36893272,2
2014-09-08,-0.82685447,2
2014-09-09,0.06292358,4
2014-09-10,-0.58842635,5
2014-09-11,-0.20848289,4
2014-09-12,-0.9970857,4
2014-09-15,-0.21230814,1
2014-09-16,-0.9953091,1
2014-09-17,-0.7961006,3
2014-09-18,-0.98481226,3
2014-09-19,-0.55886,4
2014-09-22,-0.9991394,2
2014-09-23,-0.9908991,5
2014-09-24,-0.48591676,7
2014-09-25,-0.80891395,2
2014-09-26,-0.43475458,6
2014-09-27,-0.9921365,1
2014-09-29,-0.80270654,2
2014-09-30,-0.9998202,1
2014-10-01,-0.99705213,1
2014-10-02,-0.61841065,2
2014-10-03,-0.6660946,3
2014-10-06,0.23428433,3
2014-10-07,-0.5980892,5
2014-10-08,-0.99572915,4
2014-10-09,-0.99999374,1
2014-10-10,-0.95798516,2
2014-10-12,-0.9999096,1
2014-10-14,-0.9988035,5
2014-10-15,-0.9969181,4
2014-10-16,-0.99861705,1
2014-10-17,-0.972102,1
2014-10-20,-0.9375073,4
2014-10-21,-0.99332553,3
2014-10-22,-0.99828655,7
2014-10-23,-0.99914753,1
2014-10-24,-0.99988854,1
2014-10-27,-0.95528555,2
2014-10-28,-0.99731696,5
2014-10-29,-0.750286,4
2014-10-30,-0.99842584,2
2014-11-04,-0.9905841,3
2014-11-05,-0.99024004,1
2014-11-06,-0.5044612,9
2014-11-07,-0.97373384,2
2014-11-08,-0.3459092,3
2014-11-10,-0.99906665,1
2014-11-11,-0.61177516,4
2014-11-12,-0.9970031,4
2014-11-13,-0.5007054,2
2014-11-14,-0.9906014,1
2014-11-17,-0.98174304,3
2014-11-18,-0.9990293,2
2014-11-19,-0.99299705,2
2014-11-20,-0.4567566,4
2014-11-21,-0.99996877,2
2014-11-24,-0.9989557,1
2014-11-26,-0.9969164,2
2014-11-30,-2.4581423e-06,1
2014-12-02,-0.76392823,4
2014-12-03,-0.99892366,2
2014-12-04,-0.999386,4
2014-12-05,-0.59989345,5
2014-12-06,-0.9992218,1
2014-12-08,-0.08250568,6
2014-12-09,-0.4404521,3
2014-12-10,-0.673508,3
2014-12-11,-0.7139415,3
2014-12-12,-0.9994136,1
2014-12-15,-0.49717626,2
2014-12-16,-0.05627954,3
2014-12-17,-0.9969611,4
2014-12-18,-0.011396409,1
2014-12-19,-0.50302374,4
2014-12-20,-0.99988836,1
2014-12-21,-0.9998223,1
2014-12-22,-0.62899345,6
2014-12-23,-0.7180247,7
2014-12-24,-0.9505288,4
2014-12-26,-0.9981406,2
2014-12-29,-0.45846242,5
2014-12-30,-0.8447329,4
2014-12-31,-0.20021811,5
2015-01-02,-0.65036803,4
2015-01-03,-0.9995543,1
2015-01-04,-0.99769896,1
2015-01-05,-0.8744026,11
2015-01-06,0.325215,7
2015-01-07,-0.99720746,5
2015-01-08,-0.75382066,4
2015-01-09,-0.9996937,6
2015-01-12,-0.058117867,2
2015-01-13,-0.9965951,3
2015-01-14,0.21527493,5
2015-01-15,-0.8097788,5
2015-01-16,-0.50140285,4
2015-01-17,-0.9994765,1
2015-01-18,0.99986154,1
2015-01-19,-0.8754597,2
2015-01-20,-0.775498,9
2015-01-21,-0.9919174,6
2015-01-22,-0.65247333,6
2015-01-23,-0.97489303,9
2015-01-25,-0.9991673,1
2015-01-26,-0.6227129,5
2015-01-27,-0.35960826,3
2015-01-28,-0.15597203,2
2015-01-29,-0.95596486,5
2015-01-30,0.090508915,3
