Date,Close,Simple_return,Daily_volatility_simple
2011-01-02,0.3,0.0,0.0
2011-01-03,0.295,-0.01666666666666672,0.01666666666666672
2011-01-04,0.2989,0.013220338983050972,0.013220338983050972
2011-01-05,0.299,0.00033456005352960894,0.00033456005352960894
2011-01-06,0.298,-0.0033444816053511683,0.0033444816053511683
2011-01-07,0.32,0.0738255033557047,0.0738255033557047
2011-01-08,0.3229,0.009062499999999973,0.009062499999999973
2011-01-09,0.323,0.0003096934035304866,0.0003096934035304866
2011-01-10,0.3266,0.011145510835913308,0.011145510835913308
2011-01-11,0.3266,0.0,0.0
2011-01-12,0.3188,-0.023882424984690842,0.023882424984690842
2011-01-13,0.3176,-0.0037641154328732496,0.0037641154328732496
2011-01-14,0.4,0.2594458438287155,0.2594458438287155
2011-01-15,0.3861,-0.03475000000000006,0.03475000000000006
2011-01-16,0.3868,0.0018130018130018133,0.0018130018130018133
2011-01-17,0.3495,-0.09643226473629785,0.09643226473629785
2011-01-18,0.313,-0.10443490701001423,0.10443490701001423
2011-01-19,0.313,0.0,0.0
2011-01-20,0.39,0.2460063897763578,0.2460063897763578
2011-01-21,0.4199,0.07666666666666666,0.07666666666666666
2011-01-22,0.4443,0.05810907358894979,0.05810907358894979
2011-01-23,0.4424,-0.0042763898266935385,0.0042763898266935385
2011-01-24,0.4199,-0.05085895117540695,0.05085895117540695
2011-01-25,0.41,-0.02357704215289358,0.02357704215289358
2011-01-26,0.417,0.017073170731707332,0.017073170731707332
2011-01-27,0.4212,0.010071942446043147,0.010071942446043147
2011-01-28,0.446,0.058879392212725534,0.058879392212725534
2011-01-29,0.439,-0.015695067264574036,0.015695067264574036
2011-01-30,0.4799,0.09316628701594531,0.09316628701594531
2011-01-31,0.5501,0.146280475098979,0.146280475098979
2011-02-01,0.7077,0.28649336484275567,0.28649336484275567
2011-02-02,0.716,0.011728133389854456,0.011728133389854456
2011-02-03,0.6964,-0.02737430167597754,0.02737430167597754
2011-02-04,0.811,0.16456059735784034,0.16456059735784034
2011-02-05,0.92,0.13440197287299638,0.13440197287299638
2011-02-06,0.8997,-0.022065217391304293,0.022065217391304293
2011-02-07,0.89,-0.010781371568300613,0.010781371568300613
2011-02-08,0.918,0.03146067415730336,0.03146067415730336
2011-02-09,1.09,0.18736383442265803,0.18736383442265803
2011-02-10,0.9803,-0.1006422018348625,0.1006422018348625
2011-02-11,1.07,0.09150260124451703,0.09150260124451703
2011-02-12,1.08,0.009345794392523477,0.009345794392523477
2011-02-13,1.05,-0.02777777777777779,0.02777777777777779
2011-02-14,1.07,0.01904761904761898,0.01904761904761898
2011-02-15,1.05,-0.01869158878504673,0.01869158878504673
2011-02-16,1.045,-0.004761904761904856,0.004761904761904856
2011-02-17,1.04,-0.004784688995215225,0.004784688995215225
2011-02-18,0.8989,-0.13567307692307695,0.13567307692307695
2011-02-19,0.949,0.05573478696184209,0.05573478696184209
2011-02-20,0.865,-0.08851422550052679,0.08851422550052679
2011-02-21,0.8345,-0.035260115606936426,0.035260115606936426
2011-02-22,0.8702,0.04278010784901132,0.04278010784901132
2011-02-23,0.9,0.03424500114916107,0.03424500114916107
2011-02-24,0.9974,0.10822222222222222,0.10822222222222222
2011-02-25,0.9112,-0.08642470423100057,0.08642470423100057
2011-02-26,0.958,0.05136084284460041,0.05136084284460041
2011-02-27,0.89,-0.07098121085594988,0.07098121085594988
2011-02-28,0.8702,-0.022247191011235956,0.022247191011235956
2011-03-01,0.9202,0.057458055619397985,0.057458055619397985
