Date,Open,High,Low,Close,VolumeFrom,VolumeTo,price_change,abs_price_change
2011-01-02,0.3,0.3,0.289,0.3,5352.11,1584.66,0.0,0.0
2011-01-03,0.3,0.3,0.29,0.295,1425.19,420.85,-0.01666666666666672,0.01666666666666672
2011-01-04,0.295,0.2999,0.289,0.2989,1879.0,548.33,0.013220338983050972,0.013220338983050972
2011-01-05,0.2989,0.299,0.29,0.299,357.16,106.19,0.00033456005352960894,0.00033456005352960894
2011-01-06,0.299,0.299,0.29,0.298,3456.49,1031.28,-0.0033444816053511683,0.0033444816053511683
2011-01-07,0.298,0.322,0.2975,0.32,42601.12,13152.15,0.0738255033557047,0.0738255033557047
2011-01-08,0.32,0.3229,0.309,0.3229,1629.44,512.04,0.009062499999999973,0.009062499999999973
2011-01-09,0.3229,0.323,0.3229,0.323,1691.37,546.18,0.0003096934035304866,0.0003096934035304866
2011-01-10,0.323,0.329,0.3175,0.3266,10355.83,3360.65,0.011145510835913308,0.011145510835913308
2011-01-11,0.3266,0.3266,0.3176,0.3266,4857.8,1578.66,0.0,0.0
2011-01-12,0.3266,0.3557,0.318,0.3188,31359.77,10508.17,-0.023882424984690842,0.023882424984690842
2011-01-13,0.3188,0.405,0.3176,0.3176,20118.9,7147.03,-0.0037641154328732496,0.0037641154328732496
2011-01-14,0.3176,0.45,0.3176,0.4,27130.96,10691.11,0.2594458438287155,0.2594458438287155
2011-01-15,0.4,0.4,0.385,0.3861,1515.66,591.15,-0.03475000000000006,0.03475000000000006
2011-01-16,0.3861,0.4,0.386,0.3868,2778.71,1085.16,0.0018130018130018133,0.0018130018130018133
2011-01-17,0.3868,0.3868,0.315,0.3495,18241.15,6360.69,-0.09643226473629785,0.09643226473629785
2011-01-18,0.3495,0.3495,0.305,0.313,15671.51,4950.51,-0.10443490701001423,0.10443490701001423
2011-01-19,0.313,0.313,0.305,0.313,7291.63,2247.62,0.0,0.0
2011-01-20,0.313,0.39,0.31,0.39,19881.98,6900.05,0.2460063897763578,0.2460063897763578
2011-01-21,0.39,0.44,0.368,0.4199,8477.55,3351.62,0.07666666666666666,0.07666666666666666
2011-01-22,0.4199,0.4443,0.39,0.4443,10534.27,4513.91,0.05810907358894979,0.05810907358894979
2011-01-23,0.4443,0.4443,0.42,0.4424,1148.4,505.83,-0.0042763898266935385,0.0042763898266935385
2011-01-24,0.4424,0.4424,0.381,0.4199,11061.94,4516.68,-0.05085895117540695,0.05085895117540695
2011-01-25,0.4199,0.425,0.4,0.41,2163.72,901.25,-0.02357704215289358,0.02357704215289358
2011-01-26,0.41,0.42,0.3904,0.417,15564.81,6315.95,0.017073170731707332,0.017073170731707332
2011-01-27,0.417,0.45,0.4085,0.4212,27708.2,12086.9,0.010071942446043147,0.010071942446043147
2011-01-28,0.4212,0.446,0.4212,0.446,5324.5,2301.77,0.058879392212725534,0.058879392212725534
2011-01-29,0.446,0.446,0.43,0.439,1448.38,643.63,-0.015695067264574036,0.015695067264574036
2011-01-30,0.439,0.48,0.439,0.4799,10383.59,4775.81,0.09316628701594531,0.09316628701594531
2011-01-31,0.4799,0.95,0.47,0.5501,63516.08,32708.4,0.146280475098979,0.146280475098979
2011-02-01,0.5501,0.85,0.5201,0.7077,31562.12,23264.18,0.28649336484275567,0.28649336484275567
2011-02-02,0.7077,0.76,0.69,0.716,5627.48,4126.02,0.011728133389854456,0.011728133389854456
2011-02-03,0.716,0.75,0.6501,0.6964,8524.5,6064.12,-0.02737430167597754,0.02737430167597754
2011-02-04,0.6964,0.88,0.67,0.811,42222.19,33965.74,0.16456059735784034,0.16456059735784034
2011-02-05,0.811,0.92,0.811,0.92,15786.81,13634.2,0.13440197287299638,0.13440197287299638
2011-02-06,0.92,0.92,0.83,0.8997,8744.11,7608.77,-0.022065217391304293,0.022065217391304293
2011-02-07,0.8997,0.9,0.83,0.89,2264.28,1949.54,-0.010781371568300613,0.010781371568300613
2011-02-08,0.89,0.918,0.8617,0.918,7021.29,6306.77,0.03146067415730336,0.03146067415730336
2011-02-09,0.918,1.09,0.82,1.09,49632.5,47455.01,0.18736383442265803,0.18736383442265803
2011-02-10,1.09,1.1,0.8,0.9803,26559.64,25568.81,-0.1006422018348625,0.1006422018348625
2011-02-11,0.9803,1.09,0.9264,1.07,13299.18,13213.54,0.09150260124451703,0.09150260124451703
2011-02-12,1.07,1.08,0.9906,1.08,4118.92,4353.79,0.009345794392523477,0.009345794392523477
2011-02-13,1.08,1.08,1.02,1.05,3240.64,3398.3,-0.02777777777777779,0.02777777777777779
2011-02-14,1.05,1.08,1.033,1.07,7096.55,7532.41,0.01904761904761898,0.01904761904761898
2011-02-15,1.07,1.085,1.035,1.05,8616.58,9085.5,-0.01869158878504673,0.01869158878504673
2011-02-16,1.05,1.05,1.02,1.045,7192.38,7465.03,-0.004761904761904856,0.004761904761904856
2011-02-17,1.045,1.05,1.02,1.04,4009.84,4184.96,-0.004784688995215225,0.004784688995215225
2011-02-18,1.04,1.04,0.7801,0.8989,36948.16,32719.75,-0.13567307692307695,0.13567307692307695
2011-02-19,0.8989,0.98,0.8376,0.949,3798.71,3454.72,0.05573478696184209,0.05573478696184209
